CA;X60_ANS_ET_PLUS_APPART_AV_ASC;X60_ANS_ET_PLUS_APPART_SS_ASC;X60_ANS_ET_PLUS_AUT_LOGT;X60_ANS_ET_PLUS_EMMENAGT_2;X60_ANS_ET_PLUS_EMMENAGT_30;X60_ANS_ET_PLUS_EN_MAISON;X60_ANS_ET_PLUS_ISOLES;X60_ANS_ET_PLUS_LOC_PARC_PRIVE;X60_ANS_ET_PLUS_LOC_PARC_SOCIAL;X60_ANS_ET_PLUS_LOGT_1970;X60_ANS_ET_PLUS_PROPRIETAIRES;X60_ANS_ET_PLUS_SANS_VOITURE
AGEN;3867;14454;1462;16526;100395;205606;64730;24852;7513;117550;187734;24589
AIX EN PROVENCE;315134;262993;8480;93060;402162;589529;379095;183256;103183;525595;854286;233880
AMIENS;23998;45391;2381;22718;226334;370784;128407;38461;48467;247947;348936;74670
ANGERS;30666;26602;4563;25115;191217;352913;120353;36199;40776;188641;333668;57267
BASSE TERRE;1013;9826;370;6634;33225;79986;30243;6612;6843;20426;74547;31927
BASTIA;18506;21959;419;8276;32859;52282;24759;14037;5830;37619;69271;15233
BESANCON;25952;49599;1972;16816;153291;222326;92125;28402;27768;150131;238267;44107
BORDEAUX;40802;48188;2935;43958;266198;520468;180987;67959;39056;278888;493192;79315
BOURGES;9865;15521;1018;13280;111770;209859;75405;19461;18305;136036;194669;34444
CAEN;27836;35688;2964;28211;173342;341025;125291;42447;44896;205354;314864;57002
CAYENNE;75;4335;459;2526;4668;16228;5463;3545;2417;2992;13887;8271
CHAMBERY;56829;51356;1701;16811;120407;163048;84986;24514;24798;104325;217024;36936
COLMAR;60320;82920;1739;21965;237574;289858;119619;54624;39654;216421;331960;68066
DIJON;38250;43381;2114;19644;171671;266979;109197;31833;34225;186463;279149;52768
DOUAI;73562;63169;6452;47333;451083;739252;274270;81784;140320;494050;640080;189543
FORT DE FRANCE;1867;15650;333;6580;38706;77171;30713;7354;8185;26104;74336;30355
GRENOBLE;71792;73129;3189;30626;201177;306261;136457;45061;40543;195658;360146;64538
LIMOGES;15133;20220;826;13324;111211;192994;72507;20621;14059;120745;190471;33592
LYON;206597;116771;6094;44868;314755;387240;226824;86756;98468;326383;518516;132984
METZ;18963;54226;1262;12003;141031;178346;71916;28696;25872;137170;190061;43422
MONTPELLIER;54235;97962;2608;56495;225310;483826;193165;81733;34609;242573;507478;95308
NANCY;22191;52414;1902;16657;174816;252129;103331;33956;30690;181954;258664;57190
NIMES;25822;72903;2822;35971;188761;366502;138890;61300;33684;199103;361758;64197
ORLEANS;35961;35680;2418;24103;188833;341976;124622;35291;37101;193811;337814;58094
PARIS;597278;328703;18672;84062;657803;625131;520588;182236;309747;876030;1033271;484537
PAU;36591;47938;1416;28085;172727;297990;115964;45074;21384;174307;309129;45805
POITIERS;25533;29081;4168;46158;261124;552316;172955;59474;29182;253585;513742;68145
REIMS;29632;34752;2302;15907;145106;218801;90945;25010;45173;152410;211039;49561
RENNES;87081;106010;6222;77357;538089;972267;365817;92038;76043;455075;990464;146943
RIOM;31336;41211;1552;22005;189027;314105;123180;38454;24812;199825;318145;57336
ROUEN;51590;59930;2583;28340;197183;327388;135113;47193;65565;223412;322802;75508
ST DENIS;5929;17928;580;10749;49467;107067;33681;17407;13050;27079;95926;48248
TOULOUSE;37494;56294;2049;33391;229171;406899;146431;56444;28443;219017;407700;68484
VERSAILLES;277610;184748;9141;46369;388252;442962;277794;81094;166944;453618;648931;192510
