ressort_ca,N_moyenne_10_ans,N_apa_dom,N_apa_etab,N_pch,N_min_vie,N_x60_ans_et_plus_isoles,ind_vie,N_60-74_dep_f,N_60-74_dep_h,N_75_plus_dep_f,N_75_plus_dep_h,cluster
AGEN,148.0,1858.0,1107.0,710.0,1302.0,9260.0,142.0,51.0,44.0,1153.0,420.0,0
AIX EN PROVENCE,150.0,1266.0,723.0,519.0,1721.0,8011.0,108.0,44.0,39.0,796.0,232.0,3
AMIENS,141.0,828.0,638.0,611.0,739.0,6296.0,74.0,55.0,52.0,872.0,266.0,2
ANGERS,115.0,710.0,1164.0,606.0,688.0,7081.0,86.0,61.0,58.0,1154.0,409.0,0
BESANCON,103.0,1227.0,765.0,778.0,772.0,7810.0,93.0,48.0,45.0,849.0,277.0,3
BORDEAUX,135.0,1422.0,929.0,667.0,977.0,7427.0,120.0,47.0,44.0,841.0,282.0,3
BOURGES,148.0,1153.0,1355.0,809.0,1076.0,10538.0,140.0,60.0,62.0,1250.0,427.0,0
CAEN,141.0,1404.0,1058.0,466.0,828.0,8505.0,110.0,64.0,67.0,1167.0,393.0,0
CHAMBERY,68.0,1136.0,617.0,544.0,533.0,6559.0,80.0,38.0,33.0,797.0,262.0,2
COLMAR,93.0,864.0,814.0,514.0,706.0,6208.0,84.0,50.0,42.0,818.0,276.0,2
DIJON,129.0,1308.0,1124.0,685.0,805.0,8702.0,111.0,54.0,55.0,1108.0,365.0,0
DOUAI,101.0,1482.0,765.0,577.0,928.0,6736.0,70.0,51.0,45.0,663.0,196.0,2
GRENOBLE,96.0,1470.0,681.0,709.0,800.0,6827.0,83.0,46.0,46.0,777.0,253.0,2
LIMOGES,164.0,1436.0,1215.0,498.0,1144.0,9992.0,142.0,61.0,65.0,1167.0,418.0,0
LYON,115.0,1262.0,861.0,609.0,889.0,7010.0,80.0,36.0,32.0,796.0,265.0,2
METZ,84.0,1102.0,743.0,414.0,694.0,6838.0,89.0,45.0,37.0,751.0,222.0,2
MONTPELLIER,105.0,1767.0,937.0,658.0,1506.0,8173.0,120.0,48.0,47.0,837.0,281.0,3
NANCY,101.0,967.0,958.0,671.0,842.0,8127.0,100.0,52.0,48.0,883.0,299.0,3
NIMES,135.0,1263.0,871.0,473.0,1590.0,7976.0,107.0,52.0,49.0,1047.0,341.0,3
PARIS,82.0,779.0,450.0,421.0,993.0,6257.0,69.0,30.0,27.0,498.0,164.0,1
PAU,125.0,1674.0,1023.0,525.0,1047.0,8550.0,124.0,50.0,41.0,984.0,315.0,3
POITIERS,124.0,1131.0,1049.0,592.0,792.0,7913.0,111.0,55.0,54.0,1255.0,442.0,0
REIMS,151.0,801.0,911.0,490.0,844.0,7797.0,85.0,43.0,36.0,907.0,273.0,2
RENNES,102.0,917.0,1152.0,633.0,685.0,7484.0,96.0,49.0,48.0,992.0,353.0,3
RIOM,175.0,1244.0,1026.0,593.0,899.0,8447.0,119.0,51.0,53.0,1215.0,398.0,0
ROUEN,118.0,1375.0,693.0,503.0,798.0,7286.0,80.0,48.0,44.0,854.0,276.0,2
TOULOUSE,111.0,1500.0,745.0,557.0,999.0,6243.0,93.0,42.0,45.0,741.0,257.0,2
VERSAILLES,75.0,590.0,447.0,404.0,671.0,5790.0,64.0,33.0,35.0,621.0,194.0,1
ORLEANS,104.0,1074.0,1000.0,560.0,750.0,7656.0,95.0,48.0,49.0,936.0,314.0,3
