ressort_ca;cluster;N_moyenne_10_ans;N_apa_dom;N_apa_etab;N_pch;N_min_vie;N_x60_ans_et_plus_isoles;ind_vie;N_60-74_dep_f;N_60-74_dep_h;N_75_plus_dep_f;N_75_plus_dep_h;densite;interdecile;niveau_vie;nb_avocats
AGEN;0;148;1858;1107;710;1302;9260;142;51;44;1153;420;41;3.03;19883;203
AIX EN PROVENCE;3;150;1266;723;519;1721;8011;108;44;39;796;232;197;3.55;20845;5649
AMIENS;2;141;828;638;611;739;6296;74;55;52;872;266;99;3.10;20107;621
ANGERS;0;115;710;1164;606;688;7081;86;61;58;1154;409;92;2.70;20367;635
BESANCON;3;103;1227;765;778;772;7810;93;48;45;849;277;73;3.05;21088;358
BORDEAUX;3;135;1422;929;667;977;7427;120;47;44;841;282;96;3.10;20440;2055
BOURGES;0;148;1153;1355;809;1076;10538;140;60;62;1250;427;35;2.90;19890;184
CAEN;0;141;1404;1058;466;828;8505;110;64;67;1167;393;84;2.90;20237;611
CHAMBERY;2;68;1136;617;544;533;6559;80;38;33;797;262;122;3.55;24080;734
COLMAR;2;93;864;814;514;706;6208;84;50;42;818;276;231;3.50;22290;1394
DIJON;0;129;1308;1124;685;805;8702;111;54;55;1108;365;53;2.90;20537;550
DOUAI;2;101;1482;765;577;928;6736;70;51;45;663;196;328;3.20;19050;1959
GRENOBLE;2;96;1470;681;709;800;6827;83;46;46;777;253;99;3.10;21017;1005
LIMOGES;0;164;1436;1215;498;1144;9992;142;61;65;1167;418;43;3.00;19877;302
LYON;2;115;1262;861;609;889;7010;80;36;32;796;265;240;3.37;21757;3978
METZ;2;84;1102;743;414;694;6838;89;45;37;751;222;169;3.50;21050;435
MONTPELLIER;3;105;1767;937;658;1506;8173;120;48;47;837;281;93;3.25;19345;1830
NANCY;3;101;967;958;671;842;8127;100;52;48;883;299;74;3.03;20180;498
NIMES;3;135;1263;871;473;1590;7976;107;52;49;1047;341;85;3.15;19703;910
PARIS;1;82;779;450;421;993;6257;69;30;27;498;164;527;4.03;22235;31883
PAU;3;125;1674;1023;525;1047;8550;124;50;41;984;315;63;2.93;20653;751
POITIERS;0;124;1131;1049;592;792;7913;111;55;54;1255;442;81;2.83;20465;913
REIMS;2;151;801;911;490;844;7797;85;43;36;907;273;59;3.23;19960;483
RENNES;3;102;917;1152;633;685;7484;96;49;48;992;353;141;2.84;21188;2919
RIOM;0;175;1244;1026;593;899;8447;119;51;53;1215;398;53;2.90;20275;620
ROUEN;2;118;1375;693;503;798;7286;80;48;44;854;276;151;3.00;20840;857
TOULOUSE;2;111;1500;745;557;999;6243;93;42;45;741;257;108;3.18;20285;1924
VERSAILLES;1;75;590;447;404;671;5790;64;33;35;621;194;496;3.88;24013;3732
ORLEANS;3;104;1074;1000;560;750;7656;95;48;49;936;314;84;3.03;21033;622
