pop;pop_2016;pop_2017;pop_2018;pop_2019;pop_2020;pop_2021;pop_2022;pop_2023;pop_2024;pop_2025;pop_2026;pop_2027;pop_2028;pop_2029;pop_2030;pop_2031;pop_2032;pop_2033;pop_2034;pop_2035;pop_2036;pop_2037;pop_2038;pop_2039;pop_2040
LIMOGES;756.422;752.647;732;729;727;725;723;720;719;717;716;715;713;711;709;709;707;705;703;701;700;697;696;694;691
AGEN;719.599;718.779;697;696;696;696;695;695;694;694;695;694;694;693;692;693;693;692;692;691;690;691;690;689;688
BORDEAUX;2388.267;2393.179;2367;2383;2398;2413;2426;2442;2457;2472;2487;2502;2516;2529;2543;2555;2567;2579;2589;2600;2611;2620;2629;2637;2645
BOURGES;761.054;752.197;730;725;721;717;713;710;706;703;699;696;693;689;686;683;680;677;675;672;668;665;663;660;657
POITIERS;2182.475;2185.052;2140;2150;2160;2169;2179;2188;2196;2206;2214;2222;2230;2238;2245;2253;2259;2266;2272;2278;2284;2289;2293;2299;2302
RIOM;1402.929;1399.711;1369;1371;1372;1374;1373;1375;1378;1379;1381;1383;1385;1386;1387;1388;1389;1391;1391;1392;1393;1393;1392;1394;1394
AIX EN PROVENCE;4386.504;4390.034;4352;4364;4376;4384;4394;4404;4415;4427;4436;4444;4453;4460;4466;4473;4479;4484;4489;4493;4497;4501;4502;4506;4507
AMIENS;1977.188;1970.939;1931;1929;1927;1924;1921;1919;1917;1914;1913;1911;1908;1906;1903;1900;1898;1894;1891;1888;1884;1882;1878;1875;1871
ANGERS;1733.555;1729.554;1689;1690;1690;1690;1690;1691;1693;1694;1695;1695;1696;1697;1699;1699;1700;1701;1702;1702;1702;1702;1702;1703;1702
BASSE TERRE;400.17;396.153;388;384;379;375;371;367;364;360;356;352;348;345;341;337;333;329;325;321;318;314;310;306;302
BASTIA;335.995;340.233;339;341;343;344;347;349;350;352;354;355;356;358;359;360;361;363;364;364;365;366;366;367;367
BESANCON;1214.413;1210.891;1179;1177;1175;1172;1170;1167;1166;1161;1159;1157;1154;1152;1149;1147;1143;1141;1136;1134;1130;1127;1123;1120;1115
CAEN;1520.146;1512.824;1472;1470;1466;1463;1459;1456;1454;1452;1450;1447;1444;1442;1439;1437;1433;1430;1427;1424;1421;1417;1413;1410;1406
CAYENNE;271.829;271.124;276;282;287;292;297;302;307;312;317;322;327;331;336;341;346;351;355;360;365;369;374;378;382
CHAMBERY;1266.703;1272.204;1251;1258;1265;1272;1279;1286;1292;1298;1304;1310;1314;1319;1324;1327;1331;1335;1338;1341;1344;1347;1350;1352;1355
COLMAR;1916.992;1919.428;1899;1903;1906;1910;1913;1917;1920;1924;1927;1930;1932;1935;1937;1939;1940;1941;1942;1943;1943;1942;1942;1941;1940
DIJON;1302.713;1296.082;1259;1258;1254;1252;1248;1246;1244;1242;1239;1237;1235;1232;1231;1228;1226;1223;1220;1216;1214;1210;1208;1204;1201
DOUAI;4133.4;4125.238;4073;4069;4065;4060;4054;4049;4046;4043;4040;4037;4034;4030;4026;4022;4018;4013;4008;4003;3997;3991;3984;3978;3969
FORT DE FRANCE;382.294;377.711;369;364;360;355;351;347;343;339;335;331;328;324;320;316;312;308;304;301;297;293;289;285;282
GRENOBLE;1947.938;1953.841;1920;1928;1936;1944;1949;1957;1965;1972;1979;1987;1993;1999;2005;2010;2016;2020;2026;2029;2035;2039;2044;2046;2050
LYON;3298.344;3306.107;3271;3288;3305;3321;3334;3350;3368;3384;3399;3415;3430;3445;3458;3472;3485;3497;3508;3519;3531;3540;3550;3558;3568
METZ;1064.905;1062.217;1044;1042;1039;1037;1034;1033;1031;1029;1026;1024;1021;1019;1016;1013;1010;1007;1003;1000;997;993;990;986;983
MONTPELLIER;2301.753;2313.817;2287;2305;2320;2335;2349;2364;2379;2394;2408;2422;2435;2449;2462;2475;2486;2496;2508;2520;2529;2537;2546;2555;2562
NANCY;1324.989;1316.874;1284;1281;1277;1272;1267;1263;1258;1255;1251;1247;1242;1238;1234;1230;1225;1220;1215;1211;1206;1201;1195;1190;1183
NIMES;1743.217;1743.454;1709;1712;1715;1719;1722;1725;1728;1731;1735;1737;1741;1743;1745;1747;1750;1751;1754;1754;1755;1757;1758;1759;1760
ORLEANS;1655.639;1651.859;1617;1620;1623;1625;1627;1630;1633;1635;1638;1640;1642;1644;1645;1647;1648;1649;1650;1652;1653;1653;1654;1654;1654
PARIS;8291.759;8309.911;8254;8257;8262;8267;8272;8279;8290;8298;8307;8317;8325;8333;8338;8346;8352;8359;8365;8369;8376;8378;8381;8384;8385
PAU;1347.61;1350.265;1319;1325;1331;1335;1340;1345;1350;1355;1360;1364;1369;1373;1376;1380;1383;1387;1390;1393;1397;1399;1402;1403;1406
REIMS;1183.751;1177.821;1149;1147;1144;1141;1137;1135;1134;1131;1128;1124;1122;1120;1117;1114;1110;1108;1104;1101;1098;1094;1091;1087;1084
RENNES;4819.82;4830.716;4748;4778;4809;4836;4861;4890;4919;4947;4975;5001;5027;5052;5076;5099;5123;5146;5167;5188;5209;5227;5246;5261;5277
ROUEN;1900.849;1890.485;1856;1852;1850;1845;1841;1838;1835;1831;1829;1826;1822;1818;1815;1811;1807;1803;1798;1795;1790;1786;1780;1776;1771
ST DENIS;862.814;;1116;1127;1138;1148;1159;1170;1182;1194;1205;1218;1230;1243;1255;1268;1281;1294;1307;1321;1335;1349;1364;1378;1393
TOULOUSE;2192.885;2204.874;2182;2198;2214;2230;2245;2261;2277;2293;2308;2325;2340;2355;2369;2384;2396;2411;2424;2436;2447;2458;2469;2480;2489
VERSAILLES;4762.917;4771.808;4731;4744;4757;4769;4778;4790;4802;4812;4822;4829;4837;4844;4850;4854;4859;4863;4868;4871;4873;4875;4877;4879;4879
